Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
30,376.733,376.733,376.733,376.733,376.733,399.525,425.154,433.202,429.683,453.522,474.027,492.954,491.765,500.598,510.664,505.556,508.729,517.067,509.543,495.852,489.537,481.643,478.944,481.68,471.222,465.868,456.974,447.841,447.918,459.024,459.024,459.024,484.365,484.365,484.365,484.365,484.365,534.808,534.808,534.808,534.808,534.808,564.204,564.204,564.204,564.204,564.204,578.106,578.106,578.106,578.106,578.106,578.177,578.177,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624,577.624
31,371.852,371.852,371.852,371.852,371.852,378.437,401.947,427.487,435.461,431.878,455.628,476.039,494.961,493.783,502.619,512.688,507.592,510.77,519.112,511.6,497.924,491.619,483.736,481.045,483.785,473.338,467.993,459.109,449.984,450.067,450.067,450.067,478.572,478.572,478.572,478.572,478.572,529.143,529.143,529.143,529.143,529.143,561.736,561.736,561.736,561.736,561.736,578.953,578.953,578.953,578.953,578.953,580.806,580.806,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999,579.999
32,381.323,381.323,381.323,381.323,381.323,372.481,379.679,403.11,428.571,436.482,432.847,456.51,476.912,495.826,494.657,503.495,513.564,508.48,511.664,520.007,512.508,498.85,492.556,484.687,482.003,484.747,474.314,468.98,460.105,450.992,450.992,450.992,474.211,474.211,474.211,474.211,474.211,514.476,514.476,514.476,514.476,514.476,557.804,557.804,557.804,557.804,557.804,577.952,577.952,577.952,577.952,577.952,582.199,582.199,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442,581.442
33,389.925,389.925,389.925,389.925,389.925,381.677,373.377,380.521,403.877,429.263,437.119,433.43,457.078,477.468,496.37,495.209,504.048,514.115,509.045,512.235,520.578,513.092,499.453,493.173,485.317,482.641,485.39,474.973,469.649,460.787,460.787,460.787,462.885,462.885,462.885,462.885,462.885,517.172,517.172,517.172,517.172,517.172,553.001,553.001,553.001,553.001,553.001,575.876,575.876,575.876,575.876,575.876,583.045,583.045,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63,582.63
34,397.959,397.959,397.959,397.959,397.959,390.775,383.05,374.713,381.798,405.078,430.386,438.174,434.494,458.125,478.501,497.39,496.237,505.074,515.139,510.084,513.278,521.62,514.149,500.531,494.264,486.423,483.757,486.512,476.11,470.797,470.797,470.797,452.968,452.968,452.968,452.968,452.968,502.389,502.389,502.389,502.389,502.389,547.51,547.51,547.51,547.51,547.51,573.509,573.509,573.509,573.509,573.509,584.014,584.014,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196,584.196
35,415.642,415.642,415.642,415.642,415.642,399.052,392.373,384.606,376.23,383.257,406.46,431.678,439.463,435.793,459.405,479.766,498.641,497.497,506.334,516.395,511.355,514.555,522.897,515.44,501.843,495.591,487.765,485.111,487.871,477.486,477.486,477.486,454.28,454.28,454.28,454.28,454.28,490.844,490.844,490.844,490.844,490.844,541.289,541.289,541.289,541.289,541.289,570.753,570.753,570.753,570.753,570.753,584.758,584.758,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759,585.759
36,433.715,433.715,433.715,433.715,433.715,416.288,400.194,393.477,385.673,377.261,384.232,407.35,432.542,440.324,436.665,460.258,480.603,499.464,498.329,507.164,517.224,512.2,515.405,523.747,516.307,502.733,496.496,488.688,486.044,488.809,488.809,488.809,464.338,464.338,464.338,464.338,464.338,483.902,483.902,483.902,483.902,483.902,534.477,534.477,534.477,534.477,534.477,567.137,567.137,567.137,567.137,567.137,584.458,584.458,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547,586.547
37,446.647,446.647,446.647,446.647,446.647,434.128,417.179,401.066,394.313,386.475,378.031,384.939,408.032,433.198,440.975,437.328,460.902,481.231,500.078,498.952,507.787,517.846,512.838,516.048,524.392,516.97,503.418,497.198,489.406,486.774,486.774,486.774,473.925,473.925,473.925,473.925,473.925,479.321,479.321,479.321,479.321,479.321,519.619,519.619,519.619,519.619,519.619,562.983,562.983,562.983,562.983,562.983,583.237,583.237,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668,586.668
38,445.272,445.272,445.272,445.272,445.272,447.366,435.302,418.336,402.201,395.416,387.546,379.06,385.964,409.031,434.172,441.945,438.311,461.865,482.178,501.012,499.895,508.732,518.788,513.796,517.014,525.359,517.955,504.426,498.222,490.448,490.448,490.448,480.279,480.279,480.279,480.279,480.279,468.438,468.438,468.438,468.438,468.438,522.705,522.705,522.705,522.705,522.705,558.601,558.601,558.601,558.601,558.601,581.577,581.577,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481,586.481
39,456.058,456.058,456.058,456.058,456.058,446.145,448.685,436.597,419.608,403.455,396.636,388.722,380.253,387.153,410.196,435.312,443.083,439.462,462.996,483.295,502.115,501.01,509.845,519.902,514.927,518.152,526.5,519.114,505.608,499.42,499.42,499.42,491.838,491.838,491.838,491.838,491.838,458.644,458.644,458.644,458.644,458.644,508.064,508.064,508.064,508.064,508.064,553.217,553.217,553.217,553.217,553.217,579.312,579.312,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75,585.75
